"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",0.8,2.4,1.4,1.2,0.6,0.6,0,0,0.6,0.6,0.6,0.6,1.8,2,1.4,0.6,0.6,0,0,1.2,1.2,0.6,0,0.6,0,0,0.6,0,0,0.6,1.2,2.4,1.8,1.2,1.2,1.2,1.2,0.6,0.6,1.2,1.2,0.6,1.2,0.6,0.6,1.8,1.8,2.4,1.4,1.4
"2",0.8,1.4,2.4,0.2,0.6,0.6,0,0,-0.4,0.6,-0.4,0.6,0.8,2,1.4,-0.4,-0.4,0,0,0.2,0.2,-0.4,0,-0.4,0,0,-0.4,0,0,0.6,0.2,1.4,0.8,0.2,0.2,1.2,0.2,0.6,0.6,0.2,0.2,0.6,1.2,0.6,0.6,0.8,0.8,1.4,1.4,1.4
"3",1.8,1.4,2.4,1.2,0.6,-0.4,0,0,0.6,0.6,0.6,0.6,1.8,3,2.4,0.6,0.6,0,0,1.2,1.2,0.6,0,0.6,0,0,0.6,0,0,0.6,1.2,1.4,1.8,1.2,1.2,1.2,1.2,0.6,0.6,1.2,1.2,0.6,1.2,0.6,0.6,1.8,1.8,2.4,2.4,2.4
"4",1.8,2.4,1.4,1.2,0.6,0.6,0,0,0.6,-0.4,0.6,0.6,0.8,2,2.4,0.6,0.6,0,0,0.2,0.2,0.6,0,0.6,0,0,0.6,0,0,0.6,1.2,1.4,1.8,1.2,1.2,1.2,1.2,0.6,0.6,1.2,1.2,0.6,1.2,0.6,0.6,0.8,0.8,1.4,1.4,1.4
"5",0.8,1.4,1.4,1.2,-0.4,0.6,0,0,0.6,0.6,0.6,-0.4,0.8,2,1.4,0.6,0.6,0,0,1.2,1.2,0.6,0,0.6,0,0,0.6,0,0,-0.4,0.2,1.4,0.8,0.2,0.2,0.2,0.2,-0.4,-0.4,0.2,0.2,-0.4,0.2,-0.4,-0.4,0.8,0.8,1.4,1.4,1.4
"6",1.8,1.4,1.4,0.2,0.6,0.6,0,0,0.6,0.6,0.6,0.6,1.8,2,1.4,0.6,0.6,0,0,1.2,1.2,0.6,0,0.6,0,0,0.6,0,0,0.6,1.2,2.4,0.8,1.2,1.2,0.2,1.2,0.6,0.6,1.2,1.2,0.6,0.2,0.6,0.6,1.8,1.8,1.4,2.4,2.4
"7",1.4,1.4,0,1.2,1.4,0.6,0.6,0.6,0,1.8,0.6,-0.4,0,0.6,1.2,1.8,0.8,1.2,1.2,0.2,-0.4,0,1.2,1.8,-0.4,0.6,0.6,0,0.6,0.6,0,-0.4,0.6,0.6,1.8,1.4,-0.4,0.6,0,0.6,0.2,0.8,0.2,1.2,-0.4,0,0.6,1.2,0.2,1.2
"8",2.4,2.4,0,1.2,1.4,-0.4,0.6,0.6,0,1.8,-0.4,0.6,0,0.6,1.2,0.8,1.8,1.2,1.2,0.2,0.6,0,1.2,1.8,0.6,-0.4,0.6,0,0.6,0.6,0,0.6,0.6,0.6,0.8,2.4,0.6,0.6,0,0.6,1.2,0.8,1.2,1.2,0.6,0,0.6,1.2,1.2,0.2
"9",2.4,1.4,0,0.2,1.4,0.6,0.6,-0.4,0,0.8,0.6,0.6,0,-0.4,0.2,0.8,0.8,0.2,1.2,1.2,0.6,0,0.2,0.8,0.6,0.6,0.6,0,-0.4,-0.4,0,0.6,-0.4,-0.4,0.8,1.4,0.6,-0.4,0,-0.4,0.2,0.8,0.2,0.2,0.6,0,-0.4,0.2,0.2,0.2
"10",1.4,1.4,0,1.2,2.4,0.6,0.6,0.6,0,0.8,0.6,0.6,0,0.6,1.2,0.8,1.8,1.2,0.2,1.2,0.6,0,1.2,0.8,0.6,0.6,-0.4,0,0.6,0.6,0,0.6,0.6,0.6,1.8,1.4,0.6,0.6,0,0.6,1.2,1.8,1.2,0.2,0.6,0,0.6,1.2,1.2,1.2
"11",1.4,2.4,0,1.2,1.4,0.6,-0.4,0.6,0,1.8,0.6,0.6,0,0.6,0.2,1.8,1.8,1.2,0.2,1.2,0.6,0,0.2,0.8,0.6,0.6,0.6,0,0.6,0.6,0,0.6,0.6,0.6,0.8,1.4,0.6,0.6,0,0.6,1.2,1.8,1.2,1.2,0.6,0,0.6,0.2,1.2,1.2
"12",1.4,1.4,0,0.2,2.4,0.6,0.6,0.6,0,0.8,0.6,0.6,0,0.6,1.2,1.8,0.8,0.2,1.2,1.2,0.6,0,1.2,1.8,0.6,0.6,0.6,0,0.6,0.6,0,0.6,0.6,0.6,1.8,2.4,0.6,0.6,0,0.6,1.2,1.8,1.2,1.2,0.6,0,0.6,1.2,1.2,1.2
"13",2.4,2.4,2.4,1.8,1.2,2.4,1.8,3,1.8,2.4,1.2,2.4,1.2,1.8,1.8,1.8,1.8,0.6,1.2,0.6,1.2,1.8,1.8,2.4,1.8,1.8,1.8,1.2,0.6,1.8,1.8,1.2,0,0.6,0.6,1.2,1.2,2.4,1.8,1.8,2.4,2.4,2.4,2.4,1.8,0.6,0.6,1.2,0.6,1.2
"14",1.4,1.4,1.4,1.8,0.2,2.4,1.8,2,1.8,1.4,1.2,1.4,1.2,0.8,1.8,0.8,1.8,0.6,1.2,0.6,1.2,0.8,0.8,1.4,1.8,1.8,1.8,1.2,-0.4,0.8,1.8,1.2,0,0.6,0.6,1.2,1.2,1.4,0.8,0.8,1.4,1.4,1.4,1.4,1.8,0.6,0.6,0.2,0.6,0.2
"15",1.4,2.4,2.4,0.8,1.2,1.4,1.8,2,1.8,1.4,1.2,2.4,0.2,1.8,1.8,1.8,0.8,0.6,0.2,0.6,0.2,1.8,0.8,2.4,1.8,1.8,1.8,1.2,0.6,0.8,1.8,1.2,0,0.6,-0.4,1.2,1.2,2.4,0.8,1.8,1.4,1.4,1.4,2.4,0.8,0.6,0.6,1.2,0.6,1.2
"16",1.4,1.4,1.4,0.8,0.2,1.4,0.8,2,0.8,1.4,0.2,1.4,0.2,0.8,0.8,0.8,0.8,-0.4,1.2,0.6,1.2,1.8,0.8,1.4,0.8,0.8,0.8,1.2,0.6,1.8,0.8,1.2,0,0.6,0.6,1.2,1.2,1.4,1.8,1.8,2.4,2.4,2.4,1.4,1.8,0.6,0.6,1.2,0.6,1.2
"17",2.4,1.4,1.4,1.8,1.2,1.4,0.8,2,0.8,2.4,0.2,1.4,1.2,1.8,0.8,0.8,1.8,0.6,1.2,-0.4,0.2,0.8,1.8,1.4,0.8,0.8,0.8,0.2,0.6,1.8,0.8,0.2,0,0.6,0.6,0.2,0.2,1.4,0.8,0.8,1.4,1.4,1.4,1.4,0.8,0.6,0.6,1.2,0.6,1.2
"18",1.4,1.4,1.4,0.8,1.2,1.4,0.8,2,0.8,1.4,1.2,1.4,1.2,0.8,0.8,1.8,0.8,0.6,0.2,0.6,1.2,0.8,1.8,1.4,0.8,0.8,0.8,0.2,0.6,0.8,0.8,0.2,0,-0.4,0.6,0.2,0.2,1.4,1.8,0.8,1.4,1.4,1.4,1.4,0.8,-0.4,-0.4,0.2,-0.4,0.2
"19",2.4,0.6,1.4,1.4,0.8,1.4,0.6,0.6,1.2,2,1.8,0.8,0.6,0.6,1.8,1.2,1.4,0.6,0.2,1.2,1.2,0,0.6,-0.4,0.8,0.8,1.8,0.2,0.6,-0.4,1.8,0.2,1.2,0.6,0.2,0,0.2,0.6,0,0,1.2,0.6,0.2,-0.4,0.6,0.6,0,1.2,0.2,0
"20",1.4,0.6,1.4,2.4,1.8,2.4,0.6,-0.4,0.2,3,1.8,1.8,0.6,0.6,0.8,0.2,1.4,-0.4,1.2,1.2,1.2,0,0.6,0.6,0.8,1.8,1.8,1.2,0.6,0.6,0.8,1.2,1.2,0.6,1.2,0,1.2,0.6,0,0,0.2,0.6,1.2,0.6,-0.4,0.6,0,0.2,1.2,0
"21",1.4,-0.4,2.4,2.4,0.8,1.4,0.6,0.6,1.2,2,0.8,1.8,0.6,-0.4,1.8,1.2,2.4,0.6,1.2,0.2,1.2,0,0.6,0.6,1.8,1.8,1.8,1.2,0.6,0.6,0.8,1.2,0.2,0.6,1.2,0,1.2,0.6,0,0,1.2,0.6,1.2,0.6,0.6,0.6,0,1.2,1.2,0
