"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",1.8,0.44,1.09,1.44,-0.1,0,0,0.44,0.6,2.6,-0.4,0.72,0.9,-0.49,-0.45,0.55,0.72,0,-0.28,0.72,0,0,0.8,0,0.44,0.2,0,0,-0.1,1.48,1.66,0.06,0.95,1.61,0.19,0.88,-0.45,1.56,0.79,0,1.09,0.16,1.34,0.18,0.46,0.46,0.77,-0.45,0.13,-0.27
"2",0.8,0.44,0.2,0.44,-0.45,0,0,1.44,0.6,-0.5,0.6,-0.28,-0.1,-0.1,-0.1,0.2,0.72,-0.65,0.72,-0.28,0,0,0.8,1.24,0.44,-0.02,0,0,0.9,0,0.72,0,-0.46,-0.72,-0.21,0.41,0.27,0.61,0.26,-0.28,0,0.9,0,0.72,1.08,-0.31,-0.1,1.68,-0.49,1.15
"3",0.8,-0.53,1.08,1.72,0.9,1.14,0,1.08,0.6,-0.54,0.6,0.72,1.04,0.9,1.73,-0.5,0.72,0,0.72,0.53,0.04,1.72,1.8,0,1.66,-0.31,0,0,0.9,0,0.72,0,0,0,0,0.03,0,0,0.9,0.72,1.6,0.57,0,0.72,-0.18,0,0.9,0,0,0
"4",1.8,1.44,1.2,1.44,0.9,0,1.29,1.44,0.6,1.65,0.6,0.1,0.9,0.9,0.9,1.2,-0.28,0,0.72,0.72,0,0,1.8,0,1.44,1.2,0,0,0.9,0.03,0.72,0,0,0,0,1.2,0,0,0.9,0.72,0,0.9,0,0.72,0,0,0.9,0,0,0
"5",0.8,1.44,1.26,0.44,-0.69,0,1.31,1.44,-0.4,0.57,0.6,0.72,0.48,-0.4,0.9,0.35,0.35,0,0.12,0.72,0,0,0.8,0,1.44,-0.07,0,0,1.59,0,-0.28,0,0,0,0,0.2,-0.02,-0.29,0.9,0.72,0,-0.1,0.1,0.72,0.25,0,-0.1,0,0.56,0
"6",1.8,1.44,1.2,1.44,0.9,0,0,0.44,0.6,-0.42,0.6,0.72,0.9,0.9,0.9,1.2,0.72,0,0.72,0.72,0,0,1.8,0,1.44,1.2,0,0,0.74,0,0.72,0,0,0,0,1.2,0,0,-0.1,0.72,0,0.9,0,-0.28,0,0,0.9,0,0,0
"7",1.4,2.6,0.44,1.88,0.6,1.8,0.8,2.4,0.2,0.6,0.9,0.9,1.44,1.8,0.9,1.8,0.9,0.6,1.8,1.8,1.8,0.6,1.44,0.72,1.2,0.9,1.2,0.9,1.44,0.44,1.44,0.9,1.2,0.72,1.2,1.44,0.72,0.6,0.72,1.8,0.72,1.2,1.2,0.9,0.9,0.72,0.9,0.72,0.9,1.2
"8",1.4,2.6,0.44,1.88,-0.4,0.8,0.8,1.4,0.2,-0.4,-0.1,-0.1,0.44,0.8,-0.1,0.8,-0.1,-0.4,0.8,0.8,0.8,-0.4,0.44,-0.28,0.2,-0.1,0.2,-0.1,0.44,0.44,0.44,-0.1,0.2,0.72,0.2,0.44,-0.28,-0.4,-0.28,0.8,-0.28,0.2,0.2,-0.1,-0.1,0.72,-0.1,-0.28,-0.1,0.2
"9",1.4,2.6,1.63,-0.77,0.6,0.8,0.8,1.4,1.2,0.6,0.9,0.9,1.46,0.8,0.9,0.8,-0.34,0.6,0.8,0.8,1.54,0.6,1.44,0.72,0.2,1.41,0.2,0.97,-0.06,0.21,0.44,0.9,1.2,0.72,0.43,1.44,0.72,0.6,-0.65,-0.68,0.72,0.2,1.2,0.9,0.97,-0.28,0.9,0.72,0.9,1.2
"10",2.4,2.6,1.44,1.88,0.6,-0.04,1.8,1.4,1.2,0.6,-0.6,0.9,1.44,1.31,1.42,1.8,0.67,0.6,1.28,1.8,-0.32,0.6,1.44,1.02,1.2,-0.27,1.2,0.9,0.44,1.44,1.31,-0.56,1.2,1.45,1.2,0.44,-0.31,0.6,0.72,0.86,1.66,1.2,0.2,0.69,0.9,0.72,1.61,0.72,0.54,0.2
"11",1.4,0.26,1.44,2.88,0.6,1.19,1.8,2.4,1.2,0.6,0.9,1.17,1.44,1.8,0.9,-0.35,0.9,0.6,1.8,0.8,0.8,0.6,-0.21,0.72,1.2,0.9,1.2,1.2,1.44,1.44,1.44,0.9,0.2,-0.28,-0.36,1.44,0.72,0.6,0.72,0.47,0.72,1.2,1.2,0.9,0.9,-0.58,0.9,0.72,0.9,1.2
"12",2.4,2.6,1.44,1.88,0.6,1.8,1.8,1.4,1.2,0.6,1.12,0.31,0.44,1.59,-0.05,0.96,0.9,0.6,-0.28,1.8,1.8,0.6,0.44,0.72,1.2,0.9,1.2,0.9,1.44,1.44,1.44,1.35,1.2,0.72,0.19,-0.04,0.72,0.6,0.72,0.32,0.72,1.2,1.2,1.61,0.31,0.72,0.22,0.14,0.3,1.2
"13",2.4,1.13,1.2,0.72,0.9,1.58,1.2,0,1.71,0.9,0.72,0.37,0.6,0.9,1.44,0.6,0.88,0.6,0.72,0,-0.2,0.6,0.9,0,1.2,0.72,0.72,0,0.6,0,1.44,0.72,0.72,0,0,0.72,0,0.32,0,0,-0.63,0,0.9,0,1.57,0,-0.43,0.92,2.16,1.8
"14",1.4,2.16,1.2,0.72,0.9,1.8,1.2,0,-0.49,1.28,0.51,2.16,0.6,0.91,1.44,0.6,-0.02,0.6,0.72,0,0.37,0.6,0.9,0,1.2,0.37,0.72,0,0.6,0.1,1.44,0.72,0.72,1.46,0,0.72,-0.68,0.39,0,0,-0.46,0.04,0.9,0,0,-0.39,0.94,0.8,1.16,0.8
"15",1.4,1.16,1.2,0.72,0.9,1.8,1.2,0,1.2,0.9,0.72,2.16,0.6,0.9,1.44,0.6,1.8,0.6,0.72,0,1.8,0.6,0.9,0,1.2,0.72,0.72,0,0.6,0,1.44,0.72,0.72,0,0,0.72,0,1.2,0,0,0,0,0.9,0,0,0,0,0.8,1.16,0.8
"16",1.4,2.16,0.2,0.43,0.63,0.22,0.2,1.67,0.81,-0.6,0.72,1.16,0.6,-0.44,0.04,-0.4,1.01,0.6,0.72,0,0.8,0.6,-0.3,0,0.2,0.72,0.72,0,0.6,0.1,0.44,-0.32,-0.34,0.23,0,-0.28,1.15,0.2,0,1.34,-0.85,0,0.42,0,-0.63,-0.75,0,1.8,-0.41,0.8
"17",1.4,1.16,0.2,-0.28,-0.1,0.8,0.2,-0.68,0.2,-0.1,-0.28,1.16,-0.4,-0.1,0.44,0.6,0.8,-0.4,-0.28,0,0.8,-0.4,-0.1,1.64,0.2,-0.28,-0.28,0.24,-0.4,-0.05,1.55,-0.28,-0.28,0.16,0.18,1.02,0.75,1.27,-0.24,0.45,0.07,-0.51,1.07,1.46,0.84,1.52,1.32,0.66,1.16,1.8
"18",2.4,1.16,1.2,0.72,-0.14,0.8,1.2,0,1.2,0.9,0.72,1.16,0.6,0.9,0.44,0.6,1.62,0.6,1.47,0,1.8,0.6,1.58,0,1.2,0.72,-0.57,0,0.6,0.38,0.44,0.72,0.72,0,0,0.72,0.32,1.2,0,0,0,0,-0.1,0,0,0,0,1.8,2.16,1.8
"19",1.4,1.16,0.2,1.65,0.9,-0.47,0.2,1.4,2,1.7,0.2,1.7,2,0.8,2,1.4,1.8,2.6,0.2,2.6,0.2,2,1.4,1.4,1.16,0.8,1.8,0.2,1.88,1.16,1.16,1.4,1.4,2,1.4,0.2,0.2,1.16,1.4,0.8,0.8,0.8,1.4,1.4,0.8,1.44,0.8,-0.4,0.2,0.8
"20",2.4,1.23,1.2,0.44,1.33,2.6,1.2,0.55,2,2.7,1.2,1.35,2,1.8,2,2.4,1.8,2.6,1.2,-0.55,1.2,2,2.4,1.4,2.16,0.8,1.8,0.2,1.37,-0.63,2.16,1.4,2.4,2,2.4,1.2,1.2,-0.32,2.4,1.8,0.8,1.8,1.4,1.4,1.8,-0.55,1.8,0.6,1.2,0.8
"21",1.4,1.16,0.2,1.44,1.69,2.6,1.2,0.01,2,1.7,1.2,2.7,2,1.15,2,2.4,0.8,1.64,1.2,2.6,1.2,2,1.4,1.4,1.46,1.8,0.8,1.2,1.88,1.16,1.16,1.4,1.4,2,1.4,0.2,1.2,1.16,1.4,0.8,1.8,0.8,2.4,1.4,0.8,1.44,0.8,0.6,1.2,1.8
"22",2.4,2.16,1.2,1.44,0.9,1.12,0.2,1.4,2,1.7,0.2,1.7,2,0.8,3,1.4,0.8,2.6,0.2,2.6,0.2,2,1.4,1.4,1.16,0.8,0.8,1.2,1.88,1.16,1.16,1.4,1.4,2,1.4,1.2,0.2,1.16,1.4,0.8,1.8,0.8,1.4,2.4,0.8,0.44,0.8,0.6,0.2,0.8
"23",1.4,1.16,1.2,0.44,-0.1,-0.58,1.2,2.4,3,-0.3,1.2,-0.54,2,0.39,2,1.4,1.8,2.6,1.2,-0.67,1.2,3,1.4,2.4,1.16,1.8,0.8,1.2,1.88,2.16,0.04,2.4,1.4,2,1.4,1.2,1.2,2.16,1.4,1.8,0.8,1.8,1.4,1.4,1.8,0.44,1.8,0.6,1.2,1.8
"24",1.4,2.16,1.2,1.44,0.9,1.68,1.2,-0.42,2,-0.8,1.2,1.7,3,1.8,2,1.4,0.8,2.6,1.2,2.6,1.2,2,2.4,2.4,2.16,1.8,1.8,1.2,2.88,2.16,2.16,2.4,2.4,3,2.4,1.2,1.2,2.16,2.4,1.8,1.8,1.8,2.4,2.4,1.8,1.44,1.8,0.6,1.2,1.8
